Date,Open,High,Low,Close,Volume
2020-01-01,99.65454907479635,100.2986106272065,99.17674956535461,99.82001776852556,1354753
2020-01-02,99.68941255351511,100.28674904566762,99.15402556562991,99.75103113211688,1086595
2020-01-03,99.10409791488188,99.63317272508728,98.73716193856393,99.2656386392596,1355169
2020-01-06,99.05140934443996,100.1264015816982,98.40591333720116,99.47812476495861,1482062
2020-01-07,99.71457246986517,100.50766972807227,98.29758576620648,99.08568102654048,1198305
2020-01-08,99.13741084009034,99.92622412799825,97.67257866196977,98.45596988289607,1428076
2020-01-09,98.2407093889524,98.95922043923882,97.29549105183669,98.0123317984021,1250329
2020-01-10,98.08441789631135,99.1193982805978,97.69661050606166,98.72904216689714,867070
2020-01-13,98.21713588975119,99.03002533057285,97.46286205988454,98.27530478360387,1089709
2020-01-14,98.19176963344812,98.61663403937351,96.64692801338745,97.06692534847096,1103191
2020-01-15,97.18096113033343,98.11989058385973,96.6639185047257,97.60061522610978,1307419
2020-01-16,97.7575342434497,98.55614059561819,96.46778637683437,97.26234742093499,1017961
2020-01-17,97.06067477498648,97.89976354889501,96.6926074982494,97.52991684243219,1098966
2020-01-20,97.73917169576129,98.39030536779927,96.89346281027007,97.54329153809657,999991
2020-01-21,97.98592979259743,98.88899687731578,97.41546505096473,98.31660696471258,1180362
2020-01-22,98.19832750785964,99.69505787473202,97.69045943069885,99.18210185363137,1202718
2020-01-23,99.35237514439959,99.75832284629143,98.0764237292298,98.4788020651812,1414018
2020-01-24,98.08200275601014,98.86192717604207,97.49019993149219,98.26899607952808,1367727
2020-01-27,97.77368771175284,98.23364562705835,96.52140674329915,96.97761970647367,1218578
2020-01-28,97.11309666716494,98.40499581473188,96.43642388879192,97.72406587388744,1233159
2020-01-29,97.72149253655321,98.42864770194817,96.84106514104997,97.54695729361754,1201488
2020-01-30,97.58267260208314,98.71688309908137,97.2576208820794,98.38914498784507,1199351
2020-01-31,98.23263576840655,98.6886420334772,97.4195634258188,97.8739044221108,1548309
2020-02-03,97.78904855562426,98.27030575848717,96.18650426389686,96.66221589347637,746932
2020-02-04,96.84541670126809,98.03857891848924,96.49411651267589,97.68423596982355,1128428
2020-02-05,98.0910177413184,98.45622476107759,97.34629503069914,97.71008377832135,1227732
2020-02-06,97.6443520677209,98.18461864068402,96.62771518279054,97.16533133219427,1416839
2020-02-07,96.75159372952874,97.5714990679164,96.25932967893904,97.07757644442397,945541
2020-02-10,97.37426631196693,97.77231387551299,97.08971666888561,97.4874335322031,1220281
2020-02-11,97.62166179006799,98.31912665051973,97.17330385156794,97.86962984138111,1332724
2020-02-12,98.02383593583194,98.62946221904201,95.89306544266606,96.48921026011598,1048233
2020-02-13,96.52067313462807,97.41459944020029,96.17410354643111,97.06607153062652,801443
2020-02-14,97.61746074559215,98.00935558269693,96.11182974247725,96.49923535445613,1053614
2020-02-17,96.50504690813332,97.25600202986786,95.26992029894211,96.0170782872955,900675
2020-02-18,96.12820772872404,98.10496493132563,95.4191829489743,97.38665804304581,1249878
2020-02-19,96.92278923941629,98.06858951539752,96.63507864908536,97.77833926638313,948255
2020-02-20,97.6241855971021,97.95352483729096,97.24078792834281,97.56994418287047,1513601
2020-02-21,97.38982465200422,97.97084056345193,96.0617030941984,96.6382351133876,1119921
2020-02-24,96.61862655221269,96.96768553913155,96.25720913431446,96.60622331141951,938433
2020-02-25,96.67796272934092,97.41785089427258,96.19255985425943,96.93117667694608,984216
2020-02-26,96.7370611220101,97.38085700692596,96.28016476254392,96.92308205670192,879575
2020-02-27,97.3302855918539,97.93764934583831,95.57163615686807,96.17177050566254,1140680
2020-02-28,95.90319355839166,96.05730068950622,95.232610454344,95.38588632290087,1381330
2020-03-02,95.26619282391194,95.46589387981253,94.44551557648528,94.6439121811662,1008912
2020-03-03,94.68820549157083,95.46817375052643,94.3510480762097,95.1294452076794,1230089
2020-03-04,94.81961072231883,95.92345011115655,94.16338155299526,95.26414440558187,872731
2020-03-05,95.38791655871692,96.6290736100742,94.89490389685523,96.13221404497615,1085218
